x,y,relativePos
15.378593501584447,25.160550729763237,left
38.563537504525854,34.852362262190724,left
61.49431151902548,44.53852231366468,left
84.16821156453315,56.11236114064461,left
109.09123188350644,63.94094084341688,left
134.81845185402028,69.99707595523597,left
161.9838102821566,74.57541111725767,left
187.87832831465306,74.83520284540619,left
215.27128723302826,73.88935827238305,left
242.84647215684626,63.58309158013937,left
268.363185565067,48.857433408406976,left
288.03006211076973,26.29290405453333,left
298.39252752866787,-1.4145809983556665,left
305.8803182811912,-27.47983133012535,left
307.38903529804185,-54.41939171155476,left
307.9819111724946,-79.72229599271141,left
308.5647815448393,-104.905896206575,left
307.73401623058965,-131.06995914784198,left
305.29110522722806,-156.61859634767475,left
302.4948269822874,-181.48870760797658,left
300.19867444734956,-206.38514335886833,left
297.57478670660885,-231.6072025095011,left
291.25087284968333,-261.4024367660083,left
264.86455537170264,-283.6326115576436,left
228.0692932425583,-285.8955444803961,left
203.29860168548961,-257.8477273803345,left
200.46883737737235,-227.19249513656737,left
200.36115130092833,-202.0683716158502,left
199.48213812317897,-176.97782807297034,left
200.68310943700664,-151.9759046851293,left
201.032694421506,-128.60036010178402,left
195.04667476020475,-107.22057973929793,left
185.4598758905329,-84.88824831473129,left
177.17570452811316,-62.86435839743451,left
164.50909032812268,-53.30790044370726,left
147.84730931712576,-54.172141819146916,left
123.90175338602866,-59.912473429718645,left
99.7323879801038,-65.92621563457418,left
75.18783808213198,-71.79994225700186,left
50.83664136611615,-76.64925173169169,left
28.60737505176783,-83.17183805426428,left
6.388848304207237,-92.71500822246384,left
-15.963621062815264,-103.25698382388279,left
-38.33849081564385,-114.36984036554817,left
-60.74680467444205,-125.44349602029365,left
-82.47714113249171,-136.67298604532027,left
-103.00563986268739,-148.7092574861294,left
-117.70405789226521,-163.82213863914993,left
-129.469053522939,-182.4873442793334,left
-131.84333509446603,-199.55300422489347,left
-123.79932437210257,-218.83262836173813,left
-114.90728072686565,-233.58900045390504,left
-96.61111978909378,-242.84149665595342,left
-73.69272785943146,-249.58347001874523,left
-49.45543610756657,-256.76910115509423,left
-25.580409852274332,-263.97408622087056,left
-1.6924085257542223,-270.4358347037655,left
22.51373649348374,-276.67478569693606,left
46.89266924902354,-283.2609621180013,left
70.91149648387052,-290.8791480826285,left
96.12929828041045,-299.05554286512694,left
119.04169092920817,-310.6878352291907,left
141.22194614971286,-322.83505392259616,left
163.20926782119992,-334.8435892389959,left
185.1611973329093,-346.78894922978054,left
207.13679226235314,-358.6841704674937,left
229.13735131958686,-370.53052210788843,left
251.16417633929635,-382.32927551504673,left
273.52116016075587,-393.50927236612006,left
295.9343173922312,-404.5992868557314,left
318.2662365484653,-415.86361171817856,left
340.563703320982,-427.21292880127385,left
362.8604307559739,-438.581580962063,left
385.1823788636859,-449.9253375864401,left
407.59727951286044,-461.1503054803426,left
429.6391127954861,-473.14190953863346,left
451.41861463277394,-485.67911626695076,left
473.1151817671161,-498.4245794167551,left
495.11023041459316,-512.0071912862668,left
516.3426938647042,-530.0385025889142,left
533.6895750616968,-551.2551314001328,left
544.6077267698998,-577.6446121002318,left
548.550088575075,-605.6969153369143,left
545.4075060567516,-633.4780882456814,left
537.2113886966092,-659.1117550323535,left
527.445152571584,-682.5761475346292,left
517.9032201384413,-705.6474005406418,left
508.46261991672776,-728.8224349132718,left
498.8888469687792,-752.0334674442358,left
489.8042405101037,-775.4728051295191,left
481.1327166678078,-799.0440873500513,left
472.4272885837925,-822.4679644059495,left
463.89565683981016,-845.9600012442573,left
450.3736287527391,-872.0458014380405,left
418.6695745378841,-889.4766889522418,left
391.6203020453107,-891.8512699578274,left
366.96759157204855,-894.8981630613843,left
342.21692204929906,-897.783873291171,left
314.64605746645435,-898.9455645653096,left
285.4021534445894,-891.9715074337048,left
262.5852549739851,-879.5660278416209,left
240.16012346611913,-868.5309073565661,left
217.53334586823445,-858.3978306614353,left
193.25058076241098,-849.8589588257913,left
170.1187005237394,-836.2218951904034,left
147.99044533499136,-820.3034219618979,left
131.456770788172,-799.4961694760794,left
115.61830593537559,-779.6914457644255,left
100.06701367830263,-760.647481046319,left
82.79212465683418,-737.4236210674707,left
82.42297408098096,-706.5213051197045,left
83.79668121848923,-681.5637052983934,left
87.72793218101658,-655.3991609585977,left
95.18447130727534,-630.5035668437557,left
102.5190977839961,-606.5000125998434,left
109.28117635327936,-582.6825999967207,left
115.2221400559612,-558.3984892912863,left
122.0027595634219,-534.3705102131413,left
128.24040582335,-511.5716942136947,left
122.94126305782305,-494.7793761711226,left
108.70212674293715,-484.1838981274099,left
85.59589148271313,-476.11169528933345,left
